student_name,age,college_name,place,degree,qualification,skills_offered,skills_wanted,experience_level,learning_goal,preferred_learning_style,availability_days,availability_times,weekly_commitment_hours,swap_history_count,average_rating,response_rate,reliability_score,domain_interest,tech_stack_familiarity,project_interest_area
Sai Reddy,28,SRM University,Pune,M.Sc,Postgraduate,"[""PowerPoint"", ""Content Writing"", ""Python"", ""Graphic Design""]","[""Project Management"", ""Angular"", ""Photoshop"", ""Java""]",Expert,Contribute to open-source,Mixed,Both,Evening,2,25,4.6,0.79,0.48,Finance,"[""AWS"", ""React""]",Freelancing
Ira Ghosh,18,Banaras Hindu University,Patna,BBA,12th Pass,"[""SQL"", ""C++"", ""Git""]","[""Digital Marketing"", ""Git"", ""Machine Learning""]",Expert,Prepare for job,1:1,Weekdays,Afternoon,7,28,3.2,0.77,0.82,Business,"[""PowerBI"", ""JavaScript"", ""React""]",Freelancing
Ira Roy,22,Calcutta University,Bhopal,M.Tech,Graduate,"[""Graphic Design"", ""PowerPoint"", ""Python""]","[""CSS"", ""Excel""]",Beginner,Crack internship,Group sessions,Weekdays,Morning,2,6,3.1,0.66,0.33,Finance,"[""Django"", ""PyTorch"", ""Flask"", ""Azure""]",Competitions
Anaya Verma,26,Pune University,Bengaluru,BA,Graduate,"[""Video Editing"", ""NoSQL"", ""Machine Learning""]","[""Graphic Design"", ""React"", ""Excel""]",Intermediate,Prepare for job,1:1,Weekdays,Afternoon,5,12,3.7,0.66,0.25,Content Writing,"[""MongoDB""]",Open Source
Ira Das,20,BITS Pilani,Ahmedabad,MBA,Postgraduate,"[""SEO"", ""Excel""]","[""HTML"", ""PowerPoint"", ""Excel""]",Beginner,Contribute to open-source,1:1,Both,Morning,2,19,4.3,0.55,0.21,AI/ML,"[""TensorFlow""]",Competitions
Anaya Mishra,23,Anna University,Delhi,BA,12th Pass,"[""Python"", ""Public Speaking"", ""Data Analysis""]","[""Illustrator"", ""CSS"", ""Graphic Design"", ""Photoshop""]",Beginner,Learn new language,1:1,Both,Afternoon,19,0,3.8,0.84,,Entrepreneurship,"[""SQL""]",Freelancing
Avni Mishra,19,IIT Madras,Indore,BBA,Postgraduate,"[""Data Analysis"", ""Figma"", ""Video Editing"", ""Angular""]","[""Canva"", ""Deep Learning"", ""Illustrator""]",Intermediate,Crack internship,Group sessions,Weekdays,Night,12,4,4.6,0.91,1.0,Software,"[""Python"", ""MongoDB"", ""Node.js"", ""GCP""]",Freelancing
Sara Nair,25,Lovely Professional University,Lucknow,BBA,12th Pass,"[""Graphic Design"", ""JavaScript"", ""Python"", ""NoSQL""]","[""Content Writing"", ""JavaScript"", ""PowerPoint""]",Beginner,Prepare for job,1:1,Weekends,Night,5,5,3.5,0.78,0.0,Content Writing,"[""AWS"", ""Canva""]",Hackathons
Reyansh Saha,26,Jadavpur University,Patna,M.Sc,12th Pass,"[""SQL"", ""Docker""]","[""Kubernetes"", ""JavaScript""]",Expert,Prepare for job,Async exchange,Weekdays,Evening,12,26,4.8,0.75,0.81,Data Science,"[""Canva"", ""React"", ""GCP""]",Competitions
Aaradhya Chatterjee,24,VIT Vellore,Bhopal,MA,Postgraduate,"[""Video Editing"", ""Python"", ""HTML""]","[""PowerPoint"", ""SEO""]",Expert,Crack internship,1:1,Both,Afternoon,8,9,4.6,0.85,0.22,AI/ML,"[""PowerBI""]",Freelancing
Vivaan Ghosh,22,IIT Delhi,Mumbai,M.Tech,12th Pass,"[""Photoshop"", ""PowerPoint"", ""Project Management"", ""Canva""]","[""Excel"", ""Kubernetes""]",Beginner,Freelancing,1:1,Both,Evening,7,16,4.8,0.8,0.69,Business,"[""AWS"", ""TensorFlow"", ""PyTorch"", ""Azure""]",Academic
Aaradhya Malhotra,19,IIT Madras,Hyderabad,BA,Graduate,"[""Docker"", ""HTML"", ""CSS"", ""Content Writing"", ""Excel""]","[""Docker"", ""CSS"", ""React"", ""Python""]",Beginner,Contribute to open-source,Group sessions,Weekends,Afternoon,15,7,4.3,0.85,0.14,Content Writing,"[""Python""]",Freelancing
Arjun Nair,22,Manipal Institute of Technology,Patna,MBA,Postgraduate,"[""Video Editing"", ""Java"", ""Photography"", ""Figma"", ""JavaScript""]","[""Machine Learning"", ""Data Analysis"", ""Python""]",Intermediate,Contribute to open-source,Mixed,Weekdays,Night,8,25,4.7,0.97,0.6,Design,"[""Node.js"", ""React""]",Open Source
Reyansh Das,25,IIT Bombay,Ahmedabad,M.Sc,12th Pass,"[""Graphic Design"", ""C++"", ""Git"", ""CSS""]","[""Illustrator"", ""Data Analysis""]",Beginner,Hackathon prep,Group sessions,Weekends,Evening,7,19,4.2,0.6,0.53,AI/ML,"[""Node.js"", ""Java""]",Open Source
Arnav Iyer,26,BITS Pilani,Hyderabad,MA,Postgraduate,"[""NoSQL"", ""Photoshop"", ""Kubernetes"", ""Java""]","[""JavaScript"", ""Angular"", ""Video Editing"", ""Photography""]",Expert,Academic research,Mixed,Weekdays,Night,8,23,3.9,0.83,0.48,Finance,"[""PyTorch"", ""AWS"", ""Node.js"", ""TensorFlow""]",Freelancing
Arnav Patel,23,IIT Delhi,Kochi,MBA,Postgraduate,"[""HTML"", ""Excel""]","[""Video Editing"", ""Photography"", ""Content Writing"", ""Digital Marketing""]",Beginner,Contribute to open-source,Async exchange,Weekends,Night,3,18,4.7,0.52,0.89,Business,"[""GCP"", ""Python"", ""Java"", ""PyTorch""]",Freelancing
Arjun Ghosh,27,Osmania University,Lucknow,BBA,Graduate,"[""Photography"", ""Photoshop"", ""Deep Learning"", ""Docker"", ""Python""]","[""Canva"", ""SEO"", ""JavaScript""]",Expert,Contribute to open-source,1:1,Weekends,Evening,8,7,4.8,0.71,0.86,Design,"[""TensorFlow"", ""Azure"", ""GCP"", ""Canva""]",Open Source
Muhammad Ghosh,21,IIT Bombay,Indore,MA,12th Pass,"[""Digital Marketing"", ""Canva"", ""Photography"", ""Project Management"", ""Public Speaking""]","[""Canva"", ""Java"", ""SQL""]",Intermediate,Crack internship,1:1,Weekdays,Afternoon,7,22,4.8,0.61,0.91,Marketing,"[""TensorFlow""]",Academic
Avni Iyer,25,Mumbai University,Bhopal,BA,Graduate,"[""Video Editing"", ""Graphic Design"", ""C++"", ""PowerPoint""]","[""Excel"", ""Content Writing"", ""Kubernetes""]",Intermediate,Academic research,Mixed,Weekdays,Evening,9,8,5.0,0.98,0.88,Cybersecurity,"[""Canva"", ""GCP"", ""JavaScript""]",Freelancing
Siya Mukherjee,25,Anna University,Ahmedabad,B.Com,Postgraduate,"[""Illustrator"", ""Data Analysis""]","[""Content Writing"", ""Figma"", ""Photoshop""]",Intermediate,Build portfolio,Async exchange,Weekdays,Evening,15,9,4.7,0.64,0.56,Data Science,"[""Node.js"", ""Flask""]",Competitions
Arjun Khan,18,Osmania University,Chennai,B.Com,12th Pass,"[""Illustrator"", ""Digital Marketing""]","[""C++"", ""NoSQL"", ""React""]",Expert,Contribute to open-source,1:1,Weekends,Night,9,12,3.1,0.52,0.33,Finance,"[""Azure"", ""React"", ""Node.js""]",Open Source
Vihaan Iyer,27,Banaras Hindu University,Indore,BA,Graduate,"[""Java"", ""PowerPoint"", ""Docker"", ""Digital Marketing"", ""SEO""]","[""Java"", ""Graphic Design""]",Beginner,Learn new language,Async exchange,Both,Evening,9,10,4.3,0.87,0.9,Cybersecurity,"[""GCP""]",Competitions
Avni Reddy,23,NIT Trichy,Mumbai,MA,12th Pass,"[""Photography"", ""Data Analysis"", ""SEO"", ""Figma"", ""Illustrator""]","[""HTML"", ""Graphic Design"", ""Machine Learning"", ""Figma""]",Expert,Freelancing,Mixed,Weekdays,Evening,17,9,4.3,0.63,0.67,Entrepreneurship,"[""PowerBI"", ""React""]",Startups
Siya Joshi,24,Pune University,Hyderabad,B.Sc,12th Pass,"[""SQL"", ""Deep Learning"", ""JavaScript"", ""Figma""]","[""Canva"", ""Video Editing""]",Intermediate,Learn new language,Group sessions,Weekends,Night,3,21,4.6,0.74,0.81,Marketing,"[""Tableau"", ""PowerBI""]",Competitions
Avni Gupta,27,Lovely Professional University,Bhopal,MA,12th Pass,"[""C++"", ""Canva"", ""SQL"", ""Data Analysis""]","[""Video Editing"", ""SEO""]",Beginner,Crack internship,Async exchange,Weekdays,Afternoon,7,5,3.3,0.54,0.2,Design,"[""Azure"", ""MongoDB"", ""JavaScript""]",Open Source
Eva Reddy,21,Delhi University,Kochi,M.Tech,12th Pass,"[""NoSQL"", ""JavaScript"", ""CSS"", ""PowerPoint"", ""Machine Learning""]","[""CSS"", ""Public Speaking"", ""Excel""]",Beginner,Freelancing,1:1,Weekdays,Night,20,6,3.4,0.71,0.83,Finance,"[""SQL"", ""AWS"", ""Azure"", ""Django""]",Competitions
Reyansh Chatterjee,28,Mumbai University,Jaipur,M.Sc,12th Pass,"[""Digital Marketing"", ""Excel"", ""Video Editing"", ""Project Management""]","[""CSS"", ""Illustrator""]",Beginner,Freelancing,Mixed,Both,Night,13,15,4.1,0.89,0.07,Business,"[""Tableau""]",Open Source
Aryan Patel,26,Mumbai University,Bengaluru,M.Tech,12th Pass,"[""JavaScript"", ""React"", ""NoSQL"", ""Graphic Design"", ""Machine Learning""]","[""Data Analysis"", ""Canva"", ""JavaScript""]",Intermediate,Freelancing,1:1,Weekdays,Evening,10,13,3.6,0.84,0.23,Entrepreneurship,"[""Canva""]",Freelancing
Eva Chatterjee,25,SRM University,Kochi,B.Tech,Postgraduate,"[""SEO"", ""C++"", ""Photography""]","[""Public Speaking"", ""Content Writing"", ""React"", ""NoSQL""]",Expert,Academic research,Group sessions,Weekends,Afternoon,18,22,4.3,0.87,0.45,Data Science,"[""TensorFlow"", ""Python"", ""MongoDB"", ""AWS""]",Competitions
Anaya Mishra,21,NIT Trichy,Kolkata,B.Com,Postgraduate,"[""Python"", ""Git""]","[""Deep Learning"", ""CSS""]",Expert,Learn new language,Group sessions,Weekdays,Afternoon,2,27,3.4,0.54,0.59,Business,"[""React"", ""JavaScript""]",Open Source
Vivaan Patel,20,Calcutta University,Kolkata,M.Tech,Graduate,"[""Excel"", ""Deep Learning"", ""SEO""]","[""Project Management"", ""SQL""]",Beginner,Freelancing,Group sessions,Both,Night,18,13,3.1,0.61,0.23,AI/ML,"[""Java"", ""PyTorch""]",Academic
Eva Khan,19,Banaras Hindu University,Patna,B.Tech,12th Pass,"[""Git"", ""Project Management"", ""JavaScript"", ""HTML"", ""Python""]","[""Public Speaking"", ""Data Analysis""]",Beginner,Crack internship,Async exchange,Weekends,Morning,16,23,4.0,0.79,1.0,Finance,"[""PowerBI""]",Hackathons
Aditya Chatterjee,22,IIT Madras,Lucknow,MA,12th Pass,"[""Canva"", ""Figma"", ""JavaScript""]","[""PowerPoint"", ""Data Analysis"", ""React""]",Intermediate,Learn new language,Async exchange,Weekdays,Evening,16,0,4.6,0.81,,Finance,"[""Tableau"", ""Flask""]",Competitions
Anika Sharma,23,Jamia Millia Islamia,Indore,MA,12th Pass,"[""Figma"", ""Canva""]","[""Photoshop"", ""Python"", ""Photography""]",Expert,Academic research,Async exchange,Weekdays,Evening,5,28,3.8,0.97,0.96,Data Science,"[""Azure"", ""GCP"", ""TensorFlow""]",Competitions
Aditya Kapoor,19,Christ University,Mumbai,B.Sc,Graduate,"[""Deep Learning"", ""SQL"", ""Docker""]","[""Content Writing"", ""NoSQL"", ""Kubernetes""]",Beginner,Freelancing,1:1,Weekends,Afternoon,6,22,3.9,0.88,0.32,Business,"[""Azure""]",Academic
Eva Das,26,Jadavpur University,Mumbai,B.Sc,12th Pass,"[""Content Writing"", ""Photography"", ""Deep Learning""]","[""Photoshop"", ""React"", ""Digital Marketing""]",Expert,Prepare for job,Group sessions,Weekdays,Afternoon,17,3,3.0,1.0,0.0,Content Writing,"[""Tableau""]",Competitions
Aditya Mukherjee,25,Banaras Hindu University,Bhopal,BA,12th Pass,"[""React"", ""Project Management""]","[""Project Management"", ""Figma"", ""Digital Marketing"", ""Docker""]",Beginner,Contribute to open-source,Async exchange,Both,Morning,12,12,4.1,0.63,0.5,Marketing,"[""JavaScript""]",Competitions
Aadhya Saha,19,BITS Pilani,Kolkata,BA,12th Pass,"[""JavaScript"", ""Digital Marketing"", ""Python"", ""Java""]","[""Canva"", ""Public Speaking""]",Beginner,Academic research,1:1,Both,Evening,11,1,3.7,0.81,0.0,Content Writing,"[""SQL""]",Open Source
Anika Joshi,23,BITS Pilani,Kolkata,BA,Postgraduate,"[""NoSQL"", ""Graphic Design"", ""Canva""]","[""SQL"", ""Python""]",Expert,Crack internship,Group sessions,Both,Evening,8,26,4.1,0.73,0.19,Cybersecurity,"[""React"", ""Python""]",Hackathons
Vihaan Nair,19,IIT Bombay,Ahmedabad,B.Com,12th Pass,"[""Docker"", ""Content Writing"", ""HTML"", ""Git"", ""React""]","[""Project Management"", ""Deep Learning"", ""Excel""]",Intermediate,Academic research,Mixed,Both,Afternoon,15,0,3.2,0.9,,Cybersecurity,"[""AWS""]",Startups
Siya Nair,20,IIT Bombay,Chandigarh,B.Com,12th Pass,"[""Git"", ""JavaScript"", ""CSS"", ""Machine Learning""]","[""Illustrator"", ""Graphic Design"", ""Docker""]",Expert,Academic research,1:1,Both,Night,3,14,3.6,0.65,0.0,Entrepreneurship,"[""JavaScript"", ""PyTorch"", ""GCP""]",Competitions
Aryan Das,21,Osmania University,Chandigarh,B.Com,Graduate,"[""Kubernetes"", ""Python"", ""SEO"", ""SQL"", ""Photography""]","[""Excel"", ""Illustrator"", ""Project Management""]",Beginner,Contribute to open-source,Async exchange,Weekdays,Evening,20,15,4.5,0.98,0.73,AI/ML,"[""Java"", ""Azure"", ""Tableau"", ""JavaScript""]",Competitions
Anika Mukherjee,25,SRM University,Kochi,B.Tech,Postgraduate,"[""JavaScript"", ""Git"", ""Digital Marketing"", ""Machine Learning"", ""Java""]","[""Deep Learning"", ""Illustrator""]",Beginner,Freelancing,Async exchange,Both,Evening,5,8,4.5,0.55,0.0,Content Writing,"[""Java"", ""Django"", ""Flask"", ""Node.js""]",Academic
Aditya Iyer,25,IIT Bombay,Kolkata,M.Tech,12th Pass,"[""Data Analysis"", ""Public Speaking"", ""C++"", ""Photoshop"", ""React""]","[""Project Management"", ""Java""]",Beginner,Build portfolio,Group sessions,Weekdays,Night,7,28,4.8,0.82,0.61,Data Science,"[""PyTorch"", ""PowerBI"", ""TensorFlow"", ""React""]",Academic
Sai Patel,20,Osmania University,Pune,B.Sc,Postgraduate,"[""Public Speaking"", ""Photography"", ""Video Editing"", ""HTML"", ""Machine Learning""]","[""Content Writing"", ""Git"", ""Deep Learning""]",Beginner,Build portfolio,Async exchange,Weekends,Evening,20,4,4.5,0.73,0.75,Data Science,"[""Canva"", ""Flask"", ""Tableau"", ""GCP""]",Open Source
Anaya Sharma,28,Mumbai University,Kolkata,B.Com,Postgraduate,"[""Docker"", ""Digital Marketing"", ""Project Management""]","[""Canva"", ""PowerPoint"", ""CSS"", ""Illustrator""]",Beginner,Academic research,1:1,Both,Afternoon,20,3,4.1,0.87,1.0,Data Science,"[""PyTorch"", ""JavaScript"", ""Tableau""]",Academic
Avni Iyer,25,Lovely Professional University,Mumbai,B.Com,Postgraduate,"[""Figma"", ""Video Editing""]","[""Public Speaking"", ""Data Analysis"", ""Illustrator"", ""Video Editing""]",Expert,Freelancing,1:1,Both,Afternoon,4,25,4.7,0.82,0.92,Data Science,"[""SQL"", ""Tableau""]",Startups
Siya Ghosh,23,Calcutta University,Jaipur,BBA,12th Pass,"[""SEO"", ""Project Management"", ""Git""]","[""Video Editing"", ""Deep Learning"", ""Angular"", ""SEO""]",Beginner,Build portfolio,Mixed,Weekdays,Night,7,9,4.3,0.72,1.0,AI/ML,"[""GCP""]",Freelancing
Avni Mukherjee,18,Mumbai University,Lucknow,MBA,Graduate,"[""SEO"", ""Docker""]","[""Canva"", ""Content Writing"", ""Excel""]",Intermediate,Academic research,1:1,Weekends,Evening,12,9,4.5,0.51,0.67,Marketing,"[""React"", ""SQL"", ""Azure"", ""Java""]",Freelancing
Vihaan Das,27,IIT Madras,Ahmedabad,M.Tech,12th Pass,"[""React"", ""Public Speaking"", ""Figma"", ""SEO"", ""PowerPoint""]","[""JavaScript"", ""Docker"", ""Video Editing""]",Expert,Hackathon prep,1:1,Weekends,Evening,20,7,3.8,0.61,0.86,Cybersecurity,"[""React"", ""TensorFlow"", ""SQL""]",Hackathons
Aditya Ghosh,24,Calcutta University,Bhopal,MBA,12th Pass,"[""Excel"", ""Graphic Design"", ""Machine Learning"", ""SEO""]","[""Kubernetes"", ""Public Speaking"", ""SQL"", ""Illustrator""]",Expert,Academic research,1:1,Both,Night,18,4,4.6,0.67,0.0,Data Science,"[""MongoDB"", ""Django"", ""PowerBI"", ""Node.js""]",Hackathons
Vivaan Verma,25,IIT Bombay,Lucknow,B.Com,Postgraduate,"[""Docker"", ""PowerPoint""]","[""Canva"", ""Public Speaking""]",Intermediate,Prepare for job,Mixed,Both,Afternoon,9,8,3.3,0.98,0.12,AI/ML,"[""SQL""]",Startups
Aaradhya Khan,27,Jadavpur University,Delhi,M.Sc,Postgraduate,"[""Figma"", ""Docker"", ""Machine Learning"", ""NoSQL""]","[""Java"", ""Angular"", ""Machine Learning""]",Beginner,Crack internship,Mixed,Weekdays,Afternoon,16,10,3.9,0.97,0.6,AI/ML,"[""Canva""]",Academic
Aaradhya Iyer,22,Calcutta University,Chennai,B.Sc,12th Pass,"[""Excel"", ""Git"", ""Public Speaking"", ""SQL"", ""Docker""]","[""Photoshop"", ""Graphic Design"", ""Canva"", ""Kubernetes""]",Expert,Freelancing,Group sessions,Weekdays,Morning,4,30,5.0,0.71,0.57,Entrepreneurship,"[""Java"", ""React"", ""AWS"", ""MongoDB""]",Startups
Anika Khan,19,Jamia Millia Islamia,Kolkata,M.Tech,12th Pass,"[""Java"", ""SEO"", ""Project Management""]","[""Public Speaking"", ""CSS""]",Expert,Prepare for job,Mixed,Weekends,Afternoon,8,18,4.8,0.52,0.22,Software,"[""Azure"", ""PowerBI"", ""JavaScript""]",Academic
Arnav Joshi,20,Calcutta University,Chandigarh,B.Sc,Graduate,"[""Project Management"", ""NoSQL""]","[""CSS"", ""C++"", ""Video Editing"", ""Data Analysis""]",Beginner,Hackathon prep,1:1,Weekdays,Night,9,25,3.4,0.96,0.6,Content Writing,"[""TensorFlow"", ""Python"", ""Tableau""]",Startups
Vihaan Saha,27,VIT Vellore,Kochi,M.Sc,Graduate,"[""NoSQL"", ""Graphic Design"", ""C++"", ""Video Editing""]","[""Public Speaking"", ""HTML"", ""C++""]",Intermediate,Build portfolio,1:1,Weekdays,Night,15,2,3.5,0.82,1.0,Cybersecurity,"[""TensorFlow""]",Open Source
Aryan Malhotra,23,NIT Trichy,Delhi,B.Com,Postgraduate,"[""Photography"", ""Project Management"", ""Deep Learning""]","[""Kubernetes"", ""SEO"", ""Angular"", ""JavaScript""]",Expert,Learn new language,1:1,Weekdays,Morning,15,22,4.6,0.65,0.05,Content Writing,"[""Java"", ""GCP""]",Open Source
Reyansh Verma,27,BITS Pilani,Kochi,BA,Graduate,"[""Machine Learning"", ""Public Speaking"", ""Git"", ""Deep Learning"", ""Figma""]","[""Python"", ""Figma"", ""Excel""]",Expert,Contribute to open-source,Mixed,Weekends,Afternoon,3,9,4.6,0.67,0.33,Data Science,"[""PowerBI"", ""AWS"", ""Tableau""]",Hackathons
Arnav Iyer,28,Jamia Millia Islamia,Indore,BA,Postgraduate,"[""HTML"", ""Python"", ""Data Analysis""]","[""Python"", ""CSS"", ""Figma"", ""Angular""]",Intermediate,Build portfolio,1:1,Both,Night,15,15,4.2,0.99,0.47,Data Science,"[""Tableau"", ""PyTorch"", ""Django"", ""Canva""]",Freelancing
Aryan Ghosh,24,Mumbai University,Chandigarh,M.Sc,Postgraduate,"[""SQL"", ""Docker"", ""C++""]","[""Project Management"", ""Data Analysis"", ""SEO"", ""JavaScript""]",Beginner,Crack internship,1:1,Both,Evening,6,25,4.5,0.87,0.84,Data Science,"[""GCP"", ""Tableau""]",Startups
Ira Mishra,19,Amity University,Mumbai,BBA,Graduate,"[""Angular"", ""HTML""]","[""CSS"", ""PowerPoint"", ""Canva"", ""Project Management""]",Expert,Learn new language,1:1,Weekends,Evening,19,22,3.1,0.65,0.86,Marketing,"[""Node.js"", ""PyTorch"", ""JavaScript"", ""Flask""]",Academic
Sara Chatterjee,27,BITS Pilani,Patna,M.Tech,Graduate,"[""Project Management"", ""Deep Learning"", ""Java"", ""Python""]","[""Canva"", ""Git"", ""Photography"", ""NoSQL""]",Beginner,Build portfolio,1:1,Weekdays,Morning,12,6,3.3,0.73,0.33,Entrepreneurship,"[""Django"", ""Node.js"", ""Python""]",Competitions
Reyansh Ghosh,19,Manipal Institute of Technology,Indore,MBA,Postgraduate,"[""Data Analysis"", ""Machine Learning"", ""SQL"", ""Canva""]","[""Video Editing"", ""JavaScript"", ""Excel""]",Expert,Academic research,1:1,Both,Morning,4,6,3.7,0.58,0.17,Marketing,"[""Java"", ""MongoDB"", ""Canva"", ""PowerBI""]",Open Source
Arjun Roy,22,Jadavpur University,Kochi,M.Tech,12th Pass,"[""Video Editing"", ""Git"", ""Python"", ""Illustrator""]","[""Machine Learning"", ""Java""]",Beginner,Hackathon prep,Mixed,Weekdays,Evening,18,0,4.2,0.65,,Marketing,"[""Azure"", ""GCP""]",Startups
Vivaan Gupta,18,Delhi University,Mumbai,MBA,12th Pass,"[""Illustrator"", ""Video Editing"", ""C++"", ""React""]","[""Content Writing"", ""Photoshop"", ""Angular""]",Beginner,Build portfolio,Async exchange,Weekdays,Night,15,18,3.1,0.53,1.0,Business,"[""SQL""]",Open Source
Reyansh Joshi,20,Anna University,Kolkata,MBA,12th Pass,"[""SQL"", ""Video Editing"", ""PowerPoint"", ""Photoshop"", ""Content Writing""]","[""Graphic Design"", ""Public Speaking"", ""Java"", ""Photoshop""]",Beginner,Learn new language,Mixed,Weekdays,Morning,9,30,4.2,0.88,0.0,Entrepreneurship,"[""Tableau""]",Open Source
Aaradhya Sharma,24,Mumbai University,Delhi,B.Com,Graduate,"[""Graphic Design"", ""Excel"", ""Figma"", ""Deep Learning"", ""JavaScript""]","[""Content Writing"", ""Illustrator"", ""Data Analysis"", ""CSS""]",Expert,Academic research,Async exchange,Weekends,Night,4,6,3.2,0.93,0.67,Business,"[""Azure""]",Hackathons
Anika Mishra,24,Calcutta University,Chennai,B.Sc,Graduate,"[""Video Editing"", ""Graphic Design"", ""Public Speaking"", ""SEO"", ""Content Writing""]","[""Public Speaking"", ""Machine Learning""]",Expert,Hackathon prep,Mixed,Weekdays,Evening,17,26,4.8,0.54,0.54,Business,"[""Canva"", ""PyTorch"", ""AWS""]",Hackathons
Arjun Patel,26,Anna University,Mumbai,BA,Postgraduate,"[""Digital Marketing"", ""Project Management"", ""Public Speaking"", ""React"", ""Deep Learning""]","[""Illustrator"", ""Public Speaking"", ""Data Analysis""]",Beginner,Build portfolio,Mixed,Both,Afternoon,19,26,4.5,0.5,0.73,Content Writing,"[""AWS"", ""Java"", ""JavaScript""]",Competitions
Sai Gupta,24,IIT Bombay,Pune,BBA,Postgraduate,"[""Machine Learning"", ""Illustrator"", ""Content Writing"", ""Data Analysis""]","[""SEO"", ""Photoshop""]",Beginner,Contribute to open-source,Async exchange,Both,Night,14,5,3.6,0.9,0.8,Business,"[""GCP""]",Startups
Siya Mukherjee,21,Pune University,Kochi,B.Tech,12th Pass,"[""SQL"", ""Photography"", ""Git"", ""Machine Learning""]","[""CSS"", ""Excel"", ""Photoshop"", ""Deep Learning""]",Intermediate,Prepare for job,Async exchange,Weekends,Evening,5,30,3.1,0.97,0.93,AI/ML,"[""PyTorch"", ""MongoDB"", ""Node.js""]",Hackathons
Vihaan Mukherjee,25,NIT Trichy,Mumbai,MA,Postgraduate,"[""Photoshop"", ""CSS""]","[""Git"", ""Canva"", ""Photography""]",Expert,Crack internship,Async exchange,Weekdays,Afternoon,15,4,3.2,0.71,1.0,Cybersecurity,"[""SQL"", ""JavaScript""]",Competitions
Aryan Chatterjee,27,Jadavpur University,Lucknow,M.Sc,Postgraduate,"[""Public Speaking"", ""Java"", ""React"", ""Kubernetes"", ""Python""]","[""Data Analysis"", ""Photography"", ""Deep Learning"", ""Python""]",Expert,Contribute to open-source,1:1,Weekends,Morning,8,29,3.6,0.8,0.55,Finance,"[""Canva"", ""Node.js""]",Academic
Vivaan Nair,24,IIT Madras,Patna,BA,Postgraduate,"[""Python"", ""Angular"", ""Public Speaking"", ""Photoshop"", ""React""]","[""HTML"", ""Data Analysis"", ""Digital Marketing""]",Expert,Contribute to open-source,Async exchange,Weekends,Afternoon,19,28,3.4,0.64,0.04,Data Science,"[""GCP"", ""PyTorch"", ""TensorFlow""]",Competitions
Vivaan Gupta,20,Jamia Millia Islamia,Bhopal,BBA,12th Pass,"[""PowerPoint"", ""Graphic Design"", ""Java"", ""React"", ""Photoshop""]","[""Java"", ""CSS""]",Beginner,Learn new language,Group sessions,Weekdays,Afternoon,12,3,3.8,0.72,1.0,Software,"[""PowerBI"", ""TensorFlow""]",Startups
Muhammad Chatterjee,28,Pune University,Delhi,BBA,Postgraduate,"[""Public Speaking"", ""Photography"", ""Content Writing""]","[""Docker"", ""SEO"", ""SQL"", ""PowerPoint""]",Intermediate,Learn new language,Async exchange,Both,Morning,4,16,3.5,0.93,0.5,AI/ML,"[""Node.js""]",Hackathons
Anaya Singh,23,Lovely Professional University,Bhopal,M.Sc,12th Pass,"[""Excel"", ""Illustrator"", ""CSS"", ""Project Management""]","[""Docker"", ""Excel"", ""Deep Learning""]",Intermediate,Prepare for job,Group sessions,Both,Morning,14,3,4.9,0.69,0.33,Design,"[""Flask""]",Competitions
Avni Reddy,25,BITS Pilani,Hyderabad,MBA,Postgraduate,"[""Photoshop"", ""Photography"", ""Kubernetes"", ""Video Editing""]","[""Digital Marketing"", ""Machine Learning"", ""PowerPoint"", ""C++""]",Beginner,Learn new language,1:1,Both,Evening,15,16,3.1,0.65,0.88,Data Science,"[""Django"", ""Flask"", ""React"", ""PyTorch""]",Open Source
Sai Khan,19,Jadavpur University,Ahmedabad,MBA,Graduate,"[""Machine Learning"", ""CSS""]","[""Angular"", ""HTML""]",Intermediate,Build portfolio,1:1,Weekdays,Night,6,15,4.8,0.96,0.47,AI/ML,"[""Node.js"", ""TensorFlow""]",Open Source
Muhammad Chatterjee,26,Manipal Institute of Technology,Bengaluru,B.Com,12th Pass,"[""Illustrator"", ""Docker"", ""JavaScript"", ""Angular""]","[""PowerPoint"", ""Docker"", ""Deep Learning"", ""JavaScript""]",Beginner,Build portfolio,Mixed,Weekends,Evening,2,21,4.2,0.68,0.19,Marketing,"[""React""]",Competitions
Aadhya Reddy,26,Jamia Millia Islamia,Mumbai,BA,Postgraduate,"[""CSS"", ""Excel"", ""Project Management"", ""Digital Marketing""]","[""Photoshop"", ""Python""]",Intermediate,Prepare for job,1:1,Both,Afternoon,14,14,3.6,0.96,0.29,Design,"[""Node.js"", ""PowerBI""]",Academic
Eva Joshi,26,NIT Trichy,Bengaluru,M.Tech,12th Pass,"[""Docker"", ""Machine Learning"", ""CSS"", ""NoSQL""]","[""Graphic Design"", ""HTML"", ""Canva""]",Beginner,Academic research,Group sessions,Weekends,Evening,11,3,4.4,0.74,0.33,Entrepreneurship,"[""MongoDB""]",Academic
Aadhya Roy,21,Manipal Institute of Technology,Jaipur,MA,12th Pass,"[""Machine Learning"", ""Python""]","[""Content Writing"", ""CSS"", ""Docker""]",Intermediate,Hackathon prep,1:1,Both,Evening,3,20,3.3,0.79,0.55,Marketing,"[""Canva"", ""TensorFlow"", ""Python""]",Open Source
